CD_CATGR_NATR,NM_CATGR_NATR,CD_NATR_ACTE_JURDQ,NM_NATR_ACTE_JURDQ,DT_DEBUT_EFECT,DT_FIN_EFECT
"025",Avis de vente impôt foncier,"026",Préavis vente défaut de paiement impôt foncier,1800-01-01,
"026",Faillite,"055",Avis de caveat - faillite,1800-01-01,2011-07-23
"026",Faillite,"063",Avis de faillite,1800-01-01,
"026",Faillite,"660",Ordonnance de faillite,2011-07-23,
"027",Hypothèque construction,"249",Hypothèque légale (construction),1800-01-01,
"028",Préavis d'exercice,"634",Préavis d'exercice - Prise de possession,2006-06-30,
"028",Préavis d'exercice,"635",Préavis d'exercice - Prise en paiement,2006-06-30,
"028",Préavis d'exercice,"636",Préavis d'exercice - Vente par le créancier,2006-06-30,
"028",Préavis d'exercice,"637",Préavis d'exercice - Vente sous contrôle justice,2006-06-30,
"028",Préavis d'exercice,"630",Préavis d'exercice d'une sûreté prioritaire,2005-12-01,
"029",Saisie,"225",Saisie - procès-verbal,1800-01-01,
